tweet,sentiment,length
" I`d have responded, if I were going",neutral,36
 Sooo SAD I will miss you here in San Diego!!!,negative,46
my boss is bullying me...,negative,25
 what interview! leave me alone,negative,31
" Sons of ****, why couldn`t they put them on the releases we already bought",negative,75
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,92
2am feedings for the baby are fun when he is all smiles and coos,positive,64
Soooo high,neutral,10
 Both of you,neutral,12
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,69
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,107
I really really like the song Love Story by Taylor Swift,positive,56
My Sharpie is running DANGERously low on ink,negative,44
i want to go to music tonight but i lost my voice.,negative,50
test test from the LG enV2,neutral,26
"Uh oh, I am sunburned",negative,21
" S`ok, trying to plot alternatives as we speak *sigh*",negative,53
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,137
is back home now      gonna miss every one,negative,42
Hes just not that into you,neutral,26
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,59
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,135
is cleaning the house for her family who is comming later today..,neutral,65
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,98
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,79
"the free fillin` app on my ipod is fun, im addicted",positive,51
  I`m sorry.,negative,12
On the way to Malaysia...no internet access to Twit,negative,51
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,109
Went to sleep and there is a power cut in Noida  Power back up not working too,negative,78
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,84
i hope unni will make the audition . fighting dahye unni !,positive,58
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,126
 That`s very funny.  Cute kids.,positive,31
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,102
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,84
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,82
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,123
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,72
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,89
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,107
im an avid fan of **** magazine and i love your magazines,positive,57
MAYDAY?!,neutral,8
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,138
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive,102
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,84
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,89
:visiting my friendster and facebook,neutral,36
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative,126
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative,77
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,98
" also bored at school, its my third freelesson( freistunde )",neutral,60
 hm... Both of us I guess...,neutral,28
 it is ****...u have dissappointed me that past few days,negative,56
 romance zero is funny,positive,22
 I`d rather do the early run..but I am a morning runner,neutral,55
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative,87
will be back later.  http://plurk.com/p/rp3k7,neutral,45
Aw. Torn ace of hearts  #Hunchback,negative,34
 what fun are you speaking of?,neutral,30
"i lost all my friends, i`m alone and sleepy..i wanna go home",negative,60
 haha yes,neutral,9
I give in to easily,negative,19
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive,135
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative,66
Is at a photoshoot.,neutral,19
  He`s awesome... Have you worked with him before? He`s a good friend.,positive,70
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,85
Chilliin,positive,8
" If you know such agent, do let me know",neutral,39
I still smell of smoke  #kitchenfire,neutral,36
 a celtics-lakers rematch sounds better don`t you think? lol,positive,60
"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,115
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,81
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,120
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,125
"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative,50
 My sources say no,neutral,18
I am sooo tired,negative,15
" Hey, you change your twitter account, and you didn`t even tell me...",neutral,69
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,32
 lucky kid...i so wanna see loserville  pity im in oz....,positive,57
fell asleep waiting for my ride!,neutral,32
Sick. With a flu like thing.,negative,28
"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative,108
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,56
 Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral,124
"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,131
i miss you bby      wish you were going tomorrow to make me do good.,negative,68
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive,120
 SWEEEEET - San Fran is awesome!!!!  Love it there,positive,50
_Mounce yes and it lasts way past my bedtime!,neutral,45
 Hi  how are you doing ???  *just joined twitter...*,neutral,52
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative,75
eating ice cream and then getting ready for graduation.,neutral,55
Happy Mothers day to all you Mums out there,positive,43
" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative,125
 hemp cloth is marvelous but unfortunately no,negative,45
Gonna read a story bout adam lambert online then bed. Nighty night,neutral,66
 We saw that in none 3D - the baddie`s the best,positive,47
4am. And Im on the beach. Pretty,positive,32
" Certainly not Cheers than, huh?",neutral,32
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",negative,136
i realy wanted to go out cause its so nice but everybodys busy,negative,62
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive,123
at least I get to watch over time  Let`s go Pens!!,neutral,50
 cool i wear black most of the time when i go out,neutral,49
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive,112
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive,71
" woof, I wish I was allowed to go",positive,33
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral,126
  has tickets.......?,neutral,21
"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive,65
 ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,126
"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive,102
So many tests todayyy  I don`t feel confident about anyy.,negative,57
graduation is done  im a little sad.. anyone want to hang out???,negative,64
 hahaa your awesomee !,positive,22
holy smokes! star trek was freaking awesomeeeee,positive,47
"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,120
" I had it! On my itunes, but then I lost all my songs.",neutral,54
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,134
"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative,95
" Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",negative,102
not well,negative,8
 Not a prob hun,positive,15
"at dads, watching some mtv and am going on sims2 in a minutee",neutral,61
 Absolutely,neutral,11
 what`s the matter chickadee?,neutral,29
 hey mia!  totally adore your music.  when will your cd be out?,positive,63
