tweet,sentiment,length
responded going,neutral,15
sad miss san diego,negative,18
bos bullying,negative,12
interview leave alone,negative,21
son put release already bought,negative,30
shameless plugging best ranger forum earth,neutral,42
2am feeding baby fun smile coo,positive,30
soo high,neutral,8
journey wow became cooler hehe possible,positive,39
much love hopeful reckon chance minimal p never gon na get cake stuff,neutral,69
really really like song love story taylor swift,positive,47
sharpie running dangerously low ink,negative,35
want go music tonight lost voice,negative,32
test test lg env2,neutral,17
uh oh sunburned,negative,15
ok trying plot alternative speak sigh,negative,37
sick past day thus hair look wierd didnt hat would look,negative,55
back home gon na miss every one,negative,31
he,neutral,2
oh marly sorry hope find soon,neutral,29
playing ghost online really interesting new update kirin pet metamorph third job wait dragon pet,positive,96
cleaning house family comming later today,neutral,41
got ta restart computer thought win7 supposed put end constant rebootiness,neutral,74
see wat mean bout foll0w friidays called lose f0llowers friday smh,neutral,66
free fillin app ipod fun im addicted,positive,36
sorry,negative,5
way malaysia internet access twit,negative,33
juss came backk berkeleyy omg madd fun havent minute whassqoodd,positive,63
went sleep power cut noida power back working,negative,45
going home seen new twitter design quite heavenly,positive,49
hope unni make audition fighting dahye unni,positive,43
consolation got bmi tested hahaha say obesed well much unhappy minute,negative,69
funny cute kid,positive,14
ah slept game gon na try best watch tomorrow though hope play army,neutral,66
thats end tear fear v eric prydz dj hero,neutral,40
born raised nyc living texas past year still miss ny,negative,52
case wonder really busy today coming adding ton new blog update stay tuned,neutral,74
soo slepy last day school today sniffle,negative,39
little happy wine jeje ok sm free time care jaja love day,positive,57
car happy big big dent boot hoping theyre going write crossing finger waiting,neutral,77
im avid fan magazine love magazine,positive,34
mayday,neutral,6
ratt rocked nashville tonite one thing sucked encore like still fun show pearcy hott bad boy look,neutral,97
love available 5pm dear would love help convert vids,positive,52
girl hair salon asked shall trim eyebrow old feel,neutral,49
egh blah boo dunno wan na go work hangover suckk im drunk mess,negative,62
visiting friendster facebook,neutral,28
donbt like peel prawn also dont like going shopping running money crawling round car looking,negative,92
case got new one last week thrilled mine,negative,40
check connect tweeple hate twitter,neutral,34
also bored school third freelesson freistunde,neutral,45
hm u guess,neutral,10
dissappointed past day,negative,22
romance zero funny,positive,18
rather early run morning runner,neutral,31
bah coworker ran work late bag smacked knee really hurt,negative,55
back later,neutral,10
aw torn ace heart hunchback,negative,27
fun speaking,neutral,12
lost friend alone sleepy wan na go home,negative,39
haha yes,neutral,8
give easily,negative,11
better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive,80
mann got iphone im jealous,negative,26
photoshoot,neutral,10
awesome worked good friend,positive,26
yay playing show tonight boo gon na soggy work right playing,neutral,60
chilliin,positive,8
know agent let know,neutral,19
still smell smoke kitchenfire,neutral,29
celticslakers rematch sound better think lol,positive,44
anyone extra keane ticket promise buy drink take rad pic fb blog flickr etc,neutral,75
ride one catch one summer til pop open one,neutral,42
good gorjuz yea kno asked yesterday tha hospital talked said,neutral,60
ok popped say hi check thing probably head guttah later tonight,neutral,63
wow really missin fam ily today bad,negative,35
source say,neutral,10
tired,negative,5
hey change twitter account even tell,neutral,36
thank yoou,positive,10
lucky kid wan na see loserville pity im oz,positive,42
fell asleep waiting ride,neutral,24
sick flu like thing,negative,19
still reply simfinger problem irape parody video get response sorry guy,negative,71
happy star war day everyone enjoy holiday uk,positive,44
mile essex give plenty warning arrive time get least one free beer,neutral,66
snoring annoying n keep sleeping like right lol honestly wud miss eva left love,neutral,79
miss bby wish going tomorrow make good,negative,38
well im working quite ready post publicly still beta testing cool new script coded,positive,82
swet san fran awesome love,positive,26
mounce yes last way past bedtime,neutral,32
hi joined twitter,neutral,17
waiting sleeping pill kick gon na tired work tomorrow,negative,53
eating ice cream getting ready graduation,neutral,41
happy mother day mum,positive,20
casey gone piddled little carpet prolly freaked cause new get back,negative,66
hemp cloth marvelous unfortunately,negative,34
gon na read story bout adam lambert online bed nighty night,neutral,59
saw none 3d baddie best,positive,23
4am im beach pretty,positive,19
certainly cheer huh,neutral,19
week post myhorrible traumatic jumping cholla accidentcholla next dirty trick piece starting emerge hand ouch,negative,109
realy wanted go cause nice everybodys busy,negative,42
awesome ocean beach know way yourbiggestfan real big fan,positive,56
least get watch time let go pen,neutral,31
cool wear black time go,neutral,23
haha know work blip apart obvious thanks reblipping song nice day,positive,65
safe trip joshy poo knock dead speech,positive,37
woof wish allowed go,positive,20
friendster add email adress add lococrime1stcom add leave comment,neutral,65
ticket,neutral,6
thank afrin nasal spray also got giant teacup tonight,positive,53
acsm unfathomable think one one kept comfort bedroom yes,neutral,56
aww love daddy work day week almost day still try go sf u,positive,57
many test today feel confident anyy,negative,35
graduation done im little sad anyone want hang,negative,46
hahaa awesomee,positive,14
