tweet,length
"🇩🇪GERMANY CONDEMNS ATTACK ON TESLA GIGAFACTORY\n\nCalling the attack “a form of terrorism,” German politician Dietmar Woidke said: “It is obviously a serious attack on our critical infrastructure with consequences for thousands of people as well as many small and large businesses in our country.”\n\nLeft-wing extremists, the Vulkan Group, have claimed responsibility for the attack, stating they wanted to “shut down Tesla.”\n\nThe power supply has now been restored to the Gigafactory.\n\nSource: NTV",503
"@MarioNawfal These are either the dumbest eco-terrorists on Earth or they’re puppets of those who don’t have good environmental goals. \n\nStopping production of electric vehicles, rather than fossil fuel vehicles, ist extrem dumm.",231
@MarioNawfal The Biden administration would support the “environmentalists”\n\nLet that sink in,95
@MarioNawfal What's going on?😮,30
@MarioNawfal Wow this is how bad these places have become 🪦,59
@MarioNawfal Eco terrorist with hurt feelings.,46
@MarioNawfal Thank you!,23
@MarioNawfal 😲,14
"@MarioNawfal ""The power supply has now been restored to the Gigafactory"" \n&lt;-- fully restored such that production can resume? Or just partly restored for essentials?",169
@MarioNawfal Either organized by frustrated unionists or legacy auto or collusion between the two!!,99
@MarioNawfal I thought the Left was pro-EV 😂,44
@MarioNawfal I guess they are mad because Tesla is solving the renewable &amp; climate problem and proving we don’t need to destroy society to do it. If you hate society and your identity is wrapped around needing a permanent crisis what else are you going to do?,263
@MarioNawfal What could be the long-term consequences of such attacks on critical infrastructure for Germany and its relationship with foreign investors?,153
"In times of uncertainty and volatility, it is crucial to safeguard our critical infrastructure, as it serves as the foundation for our societal resilience and economic stability. The implications of such attacks ripple far beyond the immediate impact, affecting countless individuals and businesses interconnected within the ecosystem. #StayVigilant",349
@MarioNawfal These guys need educating. Do they realize they are protesting the company trying to transition the world to sustainable energy?,141
@MarioNawfal Who did that attack?,33
@MarioNawfal Don’t ever invest where you are not respected 🙏,60
@MarioNawfal Really condemned.,30
"@MarioNawfal Why a modern strategic factory runs on one transformer is the real question.\n\nFor example, in Russia and China, every strategic factory must have 2 independent power lines and internal generators if both power sources go off.",240
@MarioNawfal I wanna meet the drone camera guy. Kid has got skills!!,68
@MarioNawfal the militant vegans were let out of rehab ☹️,57
@elonmusk @MarioNawfal Environmentalism is about sending our resources to third world countries not about the environment \nhttps://t.co/mTx8H3kvo2,147
@elonmusk @MarioNawfal They obviously don’t care about the environment and the future of Germanys auto industry. These people have to be prosecuted and we need discovery to find out is behind sabotaging German industry!,219
@elonmusk @MarioNawfal Purging the earth of people through Chaos is a very effective way to achieve this.\n\nThey have to deal with the people that disagree.,157
@elonmusk @MarioNawfal Antifa needs to be banned,48
@elonmusk @MarioNawfal It’s antifa,34
@elonmusk @MarioNawfal Very concerning \nThey are simply left wing,66
@elonmusk @MarioNawfal Wokeism is destroying Europe.,52
@elonmusk @MarioNawfal https://t.co/cJHhckEBEw,46
"@elonmusk @MarioNawfal What’s next, wind farms and solar panels?!?😂",67
@elonmusk @MarioNawfal Lmao with the german at the end 😂,56
@elonmusk @MarioNawfal Fake poseur “activists”. Just some edgy nerds trying to pretend its the 60s,98
@elonmusk @alex_avoigt @MarioNawfal Why not both https://t.co/Ag3Dy2WtZJ,72
@elonmusk @MarioNawfal They forgot plastic is a petroleum byproduct.   They think food grows from supermarket.  🙄,113
@elonmusk @MarioNawfal And what about Congo mines?,50
@elonmusk @MarioNawfal Sue these people and the ones funding them.,66
@elonmusk @MarioNawfal Climate change is a myth. Admit it.,58
@elonmusk @MarioNawfal Left wing hypocrisy is a disease.,56
"@elonmusk @MarioNawfal Clearly gonna destroy their entire reputation and ""plans"" they have, not sure the thought process of doing this.",135
@elonmusk @MarioNawfal The smartest German I ever met was a Polish.,67
@elonmusk @MarioNawfal Now that is insane! Where do these people get their misinformation? Who hypes them up &amp; turns them loose?,132
Arsonists from the company Vulcan Group? \n\nSure they might have extremists internally and if that’s the case they are must feel threatened by the success of Tesla in Europe. \n\nAre companies fighting each other physically based on ideology the next stage of global capitalism? \n\nLet’s hope not. 😥,301
"@elonmusk @MarioNawfal That is insane. Of all the companies to go after, Tesla is one of the only ones that truly cares about environmental and safety.",151
"@elonmusk @MarioNawfal wtf😶😬😰i'm sorry to hear that🥺The security system didn't work? 😮I hope no one got hurt, but it must have been very scary for the people working there😧Crazy times, and 2024 just got even crazier as you predicted.",233
@elonmusk @MarioNawfal They're the same clowns that cement expoxyed themselves to the asphalt and threw paint on priceless paintings.\nSo...,140
@elonmusk @MarioNawfal No doubt they’re funded by one of your enemies mate,74
@elonmusk @MarioNawfal They are just communists.,48
"@elonmusk @MarioNawfal Latter, I suspect, and a shot across your bows..? 🧐",74
"@elonmusk @MarioNawfal Their are prisoners of their one ideology. \nThey only care to ""eat the rich"".\nSome of them even call on burning Teslas.\nhttps://t.co/NEymmikIr6",169
"@elonmusk @MarioNawfal They don't care about the climate, they want communism.",78
@elonmusk @MarioNawfal They’re communists,41
"@elonmusk @MarioNawfal Congressman Ron Johnson: The radical leftism, climate change alarmism, and our miserably failed response to the pandemic are all designed to create a state of fear so that globalists can control our lives. We must say ""Stop""! ! ! https://t.co/1xgpBqaupR",276
@elonmusk @MarioNawfal They are a left extremist anarchist group and not environmental activists. This group has allegedly even damaged train tracks in the past. 🤦,163
"Stopping fossil fuel vehicles would actually slow the inevitable collapse of the system they want to see destroyed.\n\nOTOH, if Tesla succeeds at swapping out our infrastructure in place for a sustainable version, that’s the worst-case scenario for them, since it perpetuates the capitalist system.",298
@elonmusk @MarioNawfal These are terrorist: what they did has nothing to do with any form of protest,100
@elonmusk @MarioNawfal so is destroying ART  :) \namen.,55
@elonmusk @MarioNawfal Judge Rules on Rep. Greene’s Lawsuit Against Nancy Pelosi .\n\nhttps://t.co/KMXC8jjand,109
@elonmusk @MarioNawfal How bad is the damage / how quickly until factory is back up and running?,96
"@elonmusk @MarioNawfal They need to revisit their principles, they are not concerned with a sustainable future.",111
"@elonmusk @MarioNawfal ""They probably don't want cars surveillancing the city""",78
@elonmusk @MarioNawfal https://t.co/1kbIFntsNC,46
@elonmusk @MarioNawfal Es ist extrem dumm,41
"@elonmusk @MarioNawfal It seems like a misguided strategy to target electric vehicle production instead of focusing on reducing fossil fuel vehicle emissions, which are a major contributor to environmental issues.",213
@elonmusk @MarioNawfal EV batteries aren’t green. Not yet.,58
@elonmusk @MarioNawfal Those who would like to see Europe and the west fall behind in a zero sum game are probably pretty happy about this too,142
