tweet,length
germany condemns attack tesla gigafactorynncalling attack form terrorism german politician dietmar woidke said obviously serious attack critical infrastructure consequence thousand people well many small large business country nnleftwing extremist vulkan group claimed responsibility attack stating wanted shut tesla nnthe power supply restored gigafactorynnsource ntv,368
either dumbest ecoterrorists earth puppet good environmental goal nnstopping production electric vehicle rather fossil fuel vehicle ist extrem dumm,147
biden administration would support environmentalist nnlet sink,62
going,5
wow bad place become,20
eco terrorist hurt feeling,26
thank,5
power supply restored gigafactory n fully restored production resume partly restored essential,94
either organized frustrated unionist legacy auto collusion two,62
thought left proev,18
guess mad tesla solving renewable climate problem proving need destroy society hate society identity wrapped around needing permanent crisis else going,151
could longterm consequence attack critical infrastructure germany relationship foreign investor,95
time uncertainty volatility crucial safeguard critical infrastructure serf foundation societal resilience economic stability implication attack ripple far beyond immediate impact affecting countless individual business interconnected within ecosystem stayvigilant,263
guy need educating realize protesting company trying transition world sustainable energy,88
attack,6
ever invest respected,21
really condemned,16
modern strategic factory run one transformer real questionfor example russia china every strategic factory must independent power line internal generator power source go,169
wan na meet drone camera guy kid got skill,42
militant vegan let rehab,24
environmentalism sending resource third world country environment n,67
obviously care environment future germany auto industry people prosecuted need discovery find behind sabotaging german industry,127
purging earth people chaos effective way achieve thisnnthey deal people disagree,80
antifa need banned,18
antifa,6
concerning nthey simply left wing,33
wokeism destroying europe,25
next wind farm solar panel,26
lmao german end,15
fake poseur activist edgy nerd trying pretend,45
forgot plastic petroleum byproduct think food grows supermarket,63
congo mine,10
sue people one funding,22
climate change myth admit,25
left wing hypocrisy disease,27
clearly gon na destroy entire reputation plan sure thought process,66
smartest german ever met polish,31
insane people get misinformation hype turn loose,48
arsonist company vulcan group nnsure might extremist internally case must feel threatened success tesla europe nnare company fighting physically based ideology next stage global capitalism nnlet hope,199
insane company go tesla one one truly care environmental safety,63
wtf sorry hear thatthe security system work hope one got hurt must scary people working therecrazy time got even crazier predicted,130
clown cement expoxyed asphalt threw paint priceless paintingsnso,64
doubt funded one enemy mate,27
communist,9
latter suspect shot across bow,30
prisoner one ideology nthey care eat rich nsome even call burning teslasn,73
care climate want communism,27
communist,9
